Text,Sentiment
"  and the entertainment is over, someone complained properly..   @rupturerapture experimental you say? he should experiment with a melody",neg
  another year of Lakers .. That's neither magic nor fun ...,neg
  baddest day eveer. ,neg
  bathroom is clean..... now on to more enjoyable tasks......,pos
  boom boom pow,pos
  but i'm proud.,neg
  congrats to helio though,neg
  David must be hospitalized for five days end of July (palatine tonsils). I will probably never see Katie in concert. ,neg
  friends are leaving me 'cause of this stupid love  http://bit.ly/ZoxZC,neg
  go give ur mom a hug right now. http://bit.ly/azFwv,pos
  Going To See Harry Sunday Happiness ,pos
  Hand quilting it is then...,neg
  hate u ...  leysh t9ar5 ... =((((((( ..,neg
-  I always get what I want,pos
  I bend backwards  ,pos
  i get off work sooooon! i miss cody booo. haven't seen him in foreverr!,pos
  I hate allergies. Should I get my hair cut tomorrow? I'm taking a public poll...,pos
 - I love you guys so much that it hurts. http://tumblr.com/xkhposzpos9us,neg
  I miss Earl,neg
  I miss New Jersey,neg
  I need a U2 fix NOW!,neg
  I never thought I'd become second choice...,neg
  I think I may be too friendly...lol... o well...,neg
  I think Manuel (my Basil plant) only has days to live   ,neg
  I wanna be at home @ church...I wonder wht they are doing?,neg
  i wanna make my own pizza,neg
"  i want a pos2neggb harddrive, or a 37 inch tv, or a new guitar.  anyonefeeling generous?  =p   x",neg
  i want a hug,neg
  I want Miley to tour Australia,neg
  I wanted to sleep in this morning but a mean kid through a popsicle stick at me head. I wish I could fly away like those squirrels,neg
  i was too slow to get $pos Up tix,neg
"  I will send sunshine to Northern Ireland, are you going swimming today @kezbat",neg
  I wish I could go to T4 On The Beach :'(    Would be great to see @Shontelle_Layne &amp; @DanMerriweather   ,neg
"  i would be so much happier if the walls of my bedroom were painted white,",neg
  idk wat 2 do who can i trust me im sorry 4 all da pain i have caused nebody ima take dis time out 2 straighten myself out i luv yall,neg
  I'm finding the intercept slope..and banging my head against the wall..Math brain heads come save me,neg
  I'm really going to bed now...,pos
  im sick  'cough cough',neg
  in cab headed to the airport!  going home.... &lt;christy&gt;,neg
  In case I feel emo in camp (feeling a wee bit of it alr)...am bringing in the Human Rights Watch World Report 2negneg9..hope it'll work,neg
  Jin has a twitter.,pos
  jonas day is almost over... ,neg
  Jus Got Hom Fr. TDa Funeral... I'm So Sad! I Cried So Much Times! Much Love Grandpa!&lt;3 I Never Got To Say My Last &quot;Goodbye&quot; to Him.,neg
  just gonna smile...cuz it is what it is..and im not sure what more they could want..,pos
"  Just got home, and I got to see my friend Zahra whom I haven't seen since We graduated!!!  That makes me so happy.",pos
 - Longest night ever.. ugh! http://tumblr.com/xwpposyxhi6,neg
  mi momacita won't let me go to my bf's bball game!!! grrr!!!,neg
  Mom says I have to get a new phone IMMEDIATELY....off to T-Mobile.  she paying....,neg
  My new car was stolen....by my mother who wanted to go pose at church.,neg
"  no hang out with the girls 2day. 2moro, hope so......",neg
  no movie times for sunday!  Rats will have to plan tomorrow. I guess this means I have to work on those two  presentations I am doing!,neg
  no pavel tonight &lt;Tigersfan &gt;,neg
  not a cool night.,neg
  oh thank you!,pos
  pleased,pos
  probably guna get off soon since no one is talkin no more,neg
  really wanted Safina to pull out a win &amp; to lose like that...,neg
"  RIP, David Eddings.",neg
  Rose and ood will be back in the Xmas Who special!  YAY!  Damn that's half a year away.,pos
 - sannesias: Aww no neighbor! We need to watch Mean Girls :] http://tumblr.com/xv3poss2pi8,neg
  so whats the status on next weekend,neg
  sorry @gigi4462 The Ex Husband has overdosed on his daily dose of haterade,neg
  Thanks for your definition of throwbie!  Editors reviewed your entry and have decided to not publish it.,neg
"  Thanks, I need all the help i can get.",pos
 - that explains alot.,pos
  There's going to be a Heathers sequel.  Winona4ever!  They better not fuck it up.,pos
"  told not to drink w/my Rx so just gave all the b.b. porter &amp; obs. stout that I brought home from OR to my neighbors.  v, v, sad.",neg
  trae is so sweet! He just bought me a new baithing suit!! Wove him ,pos
"  True, highly subjective of me there. Tombre was actually my favorite character in the book. You got me  - http://is.gd/pos3beneg - Rishabh",pos
  u guys knw whyy,neg
  very much so ,neg
  waahhh now I'm getting sad....miss hub :-'(&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;,neg
--  we were standing out in the pouring rain.. We were sitting on top of the world..  --   summer sucks      --,neg
"  Went to get dog from vets, theyve stitched her ear, charged us for it but she still bleeds like a waterfall everytime she moves. D: WHY!",neg
  where is my picture i feel naked ,neg
 - Why must people be so picky. I mean 6 hours work and no dice!? whatï¿½s up with that! http://tumblr.com/xsgposm3ufn,neg
  Why Twitter will soon become obsolete? http://www.imediaconnection.com/content/23465.asp,neg
  wide awake   NOT!!!,pos
  yeah me too. Its been awful weather here for the last week so that stinks. Kristis comin down and moe said mmmaybe he take us for  ...,pos
 - You: hi Stranger: HELLO I AM FRANK LAMPARD HOW ARE YOU You: fine You: and urself Stranger: i am gay Your... http://tumblr.com/xaj24dkly,neg
  you'll always be my one and only...  [pos2*23*2negneg7],neg
 #3turnoffwords this shit sucks,neg
 #asylm J2 panel is over. Guess it's back to normal life.,neg
 #poemsunderpos4neg ....started by @shannonelysepos,pos
 #squarespace brighten my bad day! i never win anything...,neg
" #Susan Boyle didnt win! mh well, diversity was very good though! CONGRATZ!!",neg
 #twenty2neg,neg
" &lt;--- That is all, and believe me.. it's enough!",pos
 &lt;3 goooood timessss,pos
 &lt;3 GrAdUaTE neg9&lt;3,neg
" &quot; Vandals paint swastikas on home of author of gay, lesbian church story : Naples Daily News&quot; ( http://bit.ly/posposzyzl )",neg
 &quot;An unknown error occured (-4)&quot;. uh oh. iPhone OS 3 fail so far ,neg
 &quot;experts (homers) predict Eagles to go pos2-4 and Giants to go 9-7/ BS! http://www.dailysportspages.com/forums/showthread.php?t=49343,neg
 &quot;I know you hungry so lets go outside on the balcony so you can eat&quot;....,pos
 &quot;I want you so bad it's driving me  mad&quot;,neg
 &quot;The posneg Men a UK Female Internet Entrepreneur Should Know when Starting and Growing a Business : The Next Women&quot; ( http://tinyurl.com ...,pos
 &quot;The truth is hiding in your eyes&quot; @patita @MissMarian  Paramore ï¿½ Decode @Daninho5neg2  ? http://blip.fm/~5ytke,pos
 &quot;Try to turn on my tv to get you out of my head. I've got this feeling inside that I just won't admit...&quot; (that is literally how I feel),neg
" &quot;well, the truth is I miss you so&quot;- Coldplay",neg
 (tears) :'-( Today is the last day with my kids...They go on summer break at their Dads tomorrow. *sighs* http://plurk.com/p/x8j86,neg
 (unsure) (annoyed) http://plurk.com/p/pos23neglz,neg
 (via @designrelated) are designed gallery exhibition postcards/mailers going extinct? via NYT http://ow.ly/fHJc,neg
 *BeautifulyLost,neg
- *cries* I'm going to miss Harry Potter when it comes out.  I'm leaving to Vietnam on July posposth.  I'm going to cry!!,neg
-- *hummin* I SAY &quot;shut up &amp; put your money where your mouth is&quot; ...headin' out to reality. Cheers Twitter world! ,pos
-- . *sigh* You cant love someone that doesn't love you back that's like stalker status . GET a divorce &amp;&amp; move on . Trinity. ,pos
" . . . . going back to bed, because I'm lookin' around and don't see a reason to be awake atm. Be up in a little.",neg
"-- . Aiqht Goodniqht . Tri, Neena, Malcolm, Chaise , JLew, ATL &lt;333 Love Much . ",pos
-- . Triiiiiii .  ily . even if Chaise doesn't . =D *dies of laughter*,pos
 .. i wantt hiim soo badd !!,neg
" .. watching tv , bed, shopping w. mom, out w. trent hopefully, i need my best friend",neg
 ... had weird encounters with so many homeless/creeps on the walk home tonight all by myself   awesome... really...,neg
 ... Rained out truck race,neg
 ... Why am I feeling worse??? F!!!,neg
 .... Feeling pain and happiness at the same time. How confusing!,neg
 ..... hot choco is the best!,pos
 ....in a shirt and panties. celulite,neg
 ..had to turn back to North due to body on line. So missing Design Council Design 4 Tech Transfer event   http://bit.ly/pXrzV...,neg
 ..y everything is so hard? :/,neg
 .bueno good bye. good night,neg
 : Beach day with Scoobs. =( : Still no phone.,pos
" : Let's have fun,. When I give ya what I give ya.",neg
 :[ I don't want to move!!!,neg
" :-D ))))))))...WHAT AN AMAZING NIGHT,DAY &amp; NIGHT AGAIN!! HI TWITS! I MiSS U GUYS",pos
 @ canaveral national  seashore,pos
 @ progressing in the production department with &quot;The Uprizing&quot; thats the priority getting the head nodding beats and then we reach out,pos
 @ taylorrhicks enjoy chicago..b new venue is always cool. You shine everywhere you go. I know who you are. In time so will everyone. ,pos
 @ the train crash in DC .....,neg
' @ Thestreetforce  ',pos
 @3sixty5days makes me smile.,pos
" @adamisacson My first day off in 3 weeks, and my child got up before 7:negneg. So watch for me on &quot;Nancy Grac.. http://tr.im/khKW",pos
" @adbert: &quot;#Video [Woody Woodpecker â€“ The Barber of Seville] I am great, @klitoria, just wishing to be a ch... â™« http://blip.fm/~7g6rneg",pos
 @alexrauchman I am happy you are staying around here. Drexel is a fabulous university. You should be proud. yeah.,pos
 @alvinkschneider what happened to angels and demons and lions and tigers and bears!?,neg
 @AmericanWomannn Well that sure minimizes the impact...LOL,neg
" @ange_black @sween I call dibs on the Voltron arm. No the leg. Wait. Where are my manners? @baileygenine,.. http://tr.im/oERy",pos
 @CharlottegC I just saw ur mum,pos
 @chloelunn  and @meganmcdowell GET YOUR FAT ASSES ON HERE. NAI.,pos
"- @codinghorror See, three external monitors on one laptop, http://www.twitpic.com/6e3zp Win7RC  pos x pos92negxposneg8neg, 2 x pos28negxposneg24",pos
 @copicmarker&quot; facebook.com/copic.marker if you're cool. Or if you're not cool. Maybe I'll send some cool .. http://tr.im/oyT7,pos
' @crewislife  you want to start the morning later; in New York we can do that  (Californians have it even better),pos
 @cybervenus http://twitpic.com/75kwb ~ LOL LuV IT! &gt;&gt; http://twitpic.com/75hsg Did anypos find or c pos? #a.. http://bit.ly/mUMFh,pos
 @dandelionas is making fettucini and garlic bread!,pos
 @danregal  tell @pfont i said Happy BDay!! ,pos
"- @Darcy_Lussier @lkrammes I went to work once last year with no pants. Ironically, that was my last day of work at that job. FML ",neg
" @DirtyRosepos7  told you, you would sweep haha :-p",pos
 @dreamingspires. there r many gr8 science cartoons http://bit.ly/6EW4Q http://bit.ly/gXH3q http://bit.ly/pos8sjXI http://bit.ly/KEAy2,neg
- @Em9pos Edinburgh fringe is only posneg weeks away?! I need monies  Btw I'm Elliott from @angryfeet - blame @howlieT for the Twitter intrusion,neg
" @emilymariie why didnt you come to school?? have you done the short stack thing by yourself, or do you still need me?",neg
"- @EvertB which one? http://bit.ly/posnego8LW, http://bit.ly/Nh82S or http://bit.ly/wr8Vz - latter for the US Store only  #iphone #comics",neg
 @georgediaz #Magic ..thinking less than 5neg % chance Hedo stays in Orlando. He's gonna go for the $$. They all do. Can't blame him though.,neg
 @Glamicole ..now who wud make this beautiful plc cry?,neg
 @HaterMagazine: @damienrandle it is now the outer fat kid.,neg
"- @haugern The servers are now backup, if you experience any more problems then please let me know  Sorry about the delay...",pos
" @hawaiibuzz: &quot;yes, i am lol j/k luv this! @DJDolceVita: &quot;you are like a gentle breeze that has blown throug... â™« http://blip.fm/~7s7mn",pos
" @hellopnsdear se MORREA a mi Joseph, no no se vale.",neg
 @hidingesther @linininiooh are my future rooooooooomies! NYC holleR,pos
 @Hijack_King7 I hope u have cheeSe burgerS 4 @Snubbmatic LMBO,pos
 @iamyas awesome,pos
 @ivegotzooms I am nothing of the kind and everything of the sort http://tr.im/mLsn,pos
- @jerrybattiste &quot;..pick up some flowers for the teacher..&quot; I'm jealous! I want flowers without having to be in the hospital to get them! ,pos
- @joaoqalves Think again   Talvez seja do Ãªnfase na cifra. Mas atenÃ§Ã£o: &quot;Security is a chain; it's as strong as the weakest link â€¦,pos
 @jonasbrothers Why is your YouTube account suspended? lol Single Ladies dance? I NEED TO WATCH IT AGAIN!,neg
- @JuicyJones I know.. SOLD OUT though. ,neg
- @kaitymarine - watch E3 @MCMudkips - Will do ,pos
- @katherineholden Thanks K! Here's hoping! Pretty nervous though... ,pos
 @katiedontcry should get on aim and talk to me. i miss her.,neg
 @kcome ?????????????????????????????????? ????????????posnegnegneg Followers???????????? http://tr.im/mWKn,pos
" @khead I'll tell ya, grocery store. It was better when you blasted the oldies. Sugar Ray does not make me.. http://tr.im/jdnegy",pos
 @kvetchingeditor's kashrut convo makes me want to keep more kosher but my roomies catholic &amp; he has a pork loin in the fridge #kosherFAIL,neg
 @Leloz isn't home neither is @sozipos ... @althani96 U BETTER HAVE IT!!!,neg
" @LHSOPERAFIENDS yall bitches better wake up early to go to the LA Opera, kay!?",pos
"- @littlecharva - I'm immune to dentists' drills etc now, it just doesn't bother me at all. Having gum lift surgery next week tho *eek* ",neg
 @lolife4life where r u tonite im still awake!,neg
 @lorinimus hates Bebot App,neg
" @masareus&quot; @dhempe congrats bhai, but like the oldies in &gt; used to say - arre bhai kuch kam ka http://tr.im/ox5G",pos
 @MelodyChase,pos
 @mgph3nom chilling on twitter via my spanking new blackberry w/ unlimited internet : http://tr.im/mZVC,pos
 @michaelsarver so do you give him every inch of your love every night?,pos
 @mimbles @WParenthetical,pos
' @minghao Maybe you can pop @StarHubCares a tweet. They are quite active on twitter. ,pos
" @MsNovember It's a shame all the women in Mamma Mia are so horny, since all the men on this island are so.. http://tr.im/kmET",pos
- @nibaq Thanks for letting me know. I'm going to check out Eureka later with this knowledge ,pos
 @Oneshine What are u referring to?,neg
 @plmusic22,neg
"- @PoisonGirlposneg What's up? @sevgli Hey you!  @lowridergrl I'm doing ok, thx. You? @cristinerafae You, too! TTYL! @Nicnegpicneg Oh, sowwy! lol",pos
 @RAPPUBLICIST HAPPY MOTHERS DAY!,pos
"- @raybooysen I knew Sharepoint was written by interns, I just knew it !! ",pos
                                     I miss her so much already...,neg
               just practising.....how I feel       ,neg
            Miss my love Jamie,neg
          FUCK YOU!,neg
        my head feels like a bowling ball,neg
        my heart hurts badly...,neg
       FS keeps crashing when I try to load Bungie plane.,neg
      My current headset is on its deathbed now!  My dad gave it to me just 3 weeks back!    ,neg
     ....    My mood is currently BLAH . Sitting in a parking lot,neg
     I am happy     ,pos
    ...that is all.,neg
    everyone went home. and not everyone was even here! ~CMF &lt;3,neg
    fed up....,neg
"    fuck, fuck, fuuuuck!",neg
"    Not feeling it today     And to make matters worst its super nasty and rainy outside, YUCK!",neg
   @Beansummer,neg
"   Awwwwwh  i wanted Aiden Davis 2 WIN, i &lt;3 him so bummed he didnt ",neg
   bed time now....,neg
   Faltam 4 dias para o World Drawing day,pos
"   Friends like these ... no thanks, I'm not fake! ^ ^",neg
   haha omg. stayin steezy &amp; mowin the lawn... loviie still here &amp;&amp; goiing tanning soon.,pos
   i think my bf is cheating on me!!!!     ,neg
   i wanna play with my camera but i will settle for playing with iv's and heart monitors,pos
   i want an octo drive,neg
"   I want to display my pretty voltron!  Upside, I get two pretty voltrons!",neg
   i want to find a way to put my photos on phone here i have Bluetooth in both phone and computer but it doesn't work,neg
   IN an effort to bring you the best content we just added at lease 3neg hours to the release of The digital Rapture.  soon... hang tight,neg
  --- is our response to what happened today. and that is all.,neg
"   J, you are right... it hurts.",neg
"   kinda but not really, but kinda ",neg
   lol all these #robotpickuplines are hilarious ,pos
"   man, oh man     (i should punch myself in the head, but im ok with that)",pos
"   my friends can get with ur friends and we can all b friends, shit, we could do this every weeknd.. Aiigght?  with coop n the crew",pos
"   No man is worth your tears, and the one that is won't make you cry!",neg
   rain rain go away!,neg
   storms are scary!,neg
   such a beautiful satisfying day of bargain shopping. loves it.,pos
   Tell those girls your clocking out lol,neg
   thank god today is friday !!! I love Ti Ti! &lt;3,pos
   the batt to my internet connection died.  Guess its back to the mobile!,neg
   thrilled about being at work this morning   ,pos
   we break dance not hearts by Short Stack is my ringtone.... i LOVE that song!!!.....,pos
   www.apple.com/iphone now has it for the pos8th   ,neg
  #squarespace #trackle  no apple iphone card for us  maybe tomorrow! I guess it helps if you tweet it huh?  We forgot ,neg
  (unsure)  (hassle)  (:  (music) http://plurk.com/p/yqneg8l,neg
                                           exhausted,neg
          i want some ben&amp;jerrys cake batter please ugh,neg
          my life is very lazzzzyyyy!!!!!!!            ***********,pos
"        wish ella was on or somebody,,,,",neg
       ish in a good mood .....tlk to me,pos
      i think i'm going to go 3 a long drive then when i get to the pacific ocean open my car door and throw my pc in the ocean,neg
      what the hell BBC?,neg
     #canucks,neg
     I dont like this weekend.. Huhuhu ( (,neg
     I'll get on it right away!,neg
-     J + A MADE NiCE..... TWiCE!                     for now ;],pos
     loves life atm!   its brilliant XD,pos
     who else is in a happy mood?? =D,pos
    !BYE EVERYONE!   ,pos
    ...lonely night,neg
    blue does not work      ,neg
    geez I'm feeling their pain,neg
    i miss my summertime daley.,neg
"    on the computer ... . . . . . . *ill*    lol,       no fuckin goin to portugal        ",neg
    SO FAR SO GOOD!,pos
    TODAY WAS A GREAT DAY!!!,pos
    UGHHHHHHHHHHHHHHHHHHHHHHHHHHHHH,neg
   #Battleground,neg
"   a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot.",pos
   Awwwwwh  i wanted Aiden Davis 2 WIN  i &lt;3 him so bummed he didnt ,neg
   Curtain drops at the Crown Uptown after 32 ye http://www.kansas.com/news/featured/story/86neg875.html,neg
   eh  must leave New Mexico and soon!,neg
   fail maths  i knew it i was just too slow ,neg
"   From Gongwer OH Report, sounds like leadership still considering library cuts, not considering tax increases. #saveohiolibraries",neg
   fuck sake. Why can things never work out for me?,neg
"-   going in town todaÑ‡ with mÑ‡ cousinnn, [Ñ‡]     netball match was cancelledd ",neg
   hoping to see my baby girl,neg
   i don't even know.,neg
   I just lost a member of my family ,neg
   I'm SICK of bedtime battles   ,neg
   i'm so cold this morning......       i have chills all over.....   ,neg
   Just... ,neg
   No no no. Tonight goes on the books as the worst SYTYCD results show.,neg
   no shopping   ,neg
"  - Poor lil mousey, just out enjoying the sunny day. I don't think I'd feel so bad if it was a big gnarly rat though. Dbl standard? Yep.",neg
  -- that's an EPIC sad face.,neg
   This magazine story just broke my heart at the dentist's office today:  http://tinyurl.com/ngbq2c,neg
   Tiger Woods is up by 2at pos8 via http://nascar.com/racebuddy,pos
   wanna go meet wifey but....  this sux   :'(,neg
   Wondering why I feel like I do...I'll feel better though...Its all good! I'll be happy inspite of...Tweet ya lata ,neg
"   yippeeeee yay lets gather in the hay...HIS LOVE FOUND IT'S WAY+ boy,it's Gonna STAY added 2 the Master's HOLY WAY: ALL HIS WILL+WAY",pos
  #IranElection - no one realizes how deep this goes.,neg
  &gt;. Bodies from Air France crash have been found  http://twurl.nl/dvu8be (via @Paisano ),neg
"  &lt; that is the story of my life, a whole bunch of frownies!",neg
               I HAVE NOOOOOOOOOO FRIENDS ON TWITTER IT MAKES ME SAD WILL SOMEONE FOLLOW ME      ,neg
             i just want to hear from you. i guess that's asking too much..,neg
       Hardest working chica i know( mii boss lady) @MoneyAceweather (look up to her seriously) lOl,pos
       i really2 don't like this condition. sucksssssss,neg
"       Orlando Lost  The Series. Oh Well, Maybe Phoenix, Or Boston, Or Cleveland (The Teams I Like) Will Make It Next Year!",neg
      rinitis sucks!!!!!,neg
      thanks for being the bestttttttttttttttttttt J-dawg,pos
     &gt;( &gt;(  i'm mad and sad right now. Played so terrible today in both soccer and basketball.,neg
     &lt;- but mustache man is not that desperate,neg
     &lt;--------- my face because i'm missing zoro tonight.,neg
     @riceuniversiity I know huh @Kouture85 Im bout to cry@Ahmier thanks Marco! *muah*,neg
     angry,neg
     praise God for this beautiful day!!!     ,pos
     sry matt 2 hear that (,neg
     what the fucccckkkkkkkkkk,neg
    Bye World!!!!!!,neg
    i couldnt even have one fairytale night,neg
    I'll be working when Pottercast/Lupins/Willows come near me.  FAIL.,neg
"    My cell phone screen is dead.  Sooooooooooo, no texts and I don't know who's calling.  Fuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuck",neg
"    NO MORE SICKNESS. strike i say STRIKE! ohhhh well, 'nother day off school i guess",neg
    Nobody likes Year One in the reviews I've read. I'm disappointed. But maybe now I'll like it more since I'm not expecting much..,neg
   (must i say more?),neg
   *old me's dead and gone*,neg
   ... have to go now ??? pos3 more minutes   ... please please please,neg
   @Lakers!! I love you guyssss! Those rings.. Mmmyeahh! Bling blingg,pos
   @PERFEKTnCHANCE (Chance) is Boo #29,pos
   @Standing_Stones  Thank you very much for the DVD suggestion!  Very nice of you!  Looks good.,pos
   awwwww i really hate this.,neg
   bad day.,neg
   bad day.....damn you @3pospos. What kind of ticket sale was that.....,neg
   Boston Globe could be shut down in 6neg days http://sbne.ws/r/vWc,neg
   bye guys!!!! i'ma miss ya'll sooo sooo much! but don't worry i'll be back on monday!!! have an awesome weekend!!! peace!!!!,neg
   can i have some followers :' ( ... i'm so sad...    NOW THAT I'M LOSING HOPE -pressure,neg
   Couldn't bless'd da mic w/ my bra's in music 2day @ERiceOnTheBeat @moneybagzfamposst @circustk,neg
   CRY CRY CRY   ,neg
   F**kn day...,neg
   Goodnight   ,neg
   movie is very sick.,pos
   had a WONDERFUL day  G_D is GRRRRRRRRREAT!!!!!     ,pos
   I am going to shed tears if the Cavs have to go home tonight. Like seriously,neg
   i am soooo sad...at this point of night i'd be cuddling with jonathan like i did for 4 years,neg
   I hate you forever.,neg
   I have passed 7neg-542 exam today   ,pos
   i missed it,neg
   i still Feel like a Douchebag,neg
   I want to write a song. I think I will.,pos
- @serialseb Always thought time estimates should use 'value of Pi rule' (x 3.pos4). Only exception being 'Pi squared rule'. ,pos
 @SirKenRobinson Creativity via Twitter http://bit.ly/HVTHS,pos
"- @SlashHudson you tease, i wanna hear the tracks!! ",pos
 @sommacolada never answering my im's,neg
 @soultravelers3 http://bit.ly/H9Nqe  pos5 TravelTips 4 student safety in roughplaces,pos
 @squarespace it's now fathers day and you haven't picked me...yet. I kind of want to incessantly bother you...#squarespace,neg
 @SRenaeNae... What is 'FML',pos
 @sweetlilmzmia: &quot;Gotta LOVE Blip.fm - John Mayer Trio - CALIFORNIA DREAMIN' as heard on Conan neg6/neg4/2negneg9 ---... â™« http://blip.fm/~7qdfneg,pos
 @Thatsrightnate ~ Just in case you need some help w that:  http://bit.ly/pos2nPposH,pos
 @THEDIAMONDCOACH  Im sure he'd love that LOL,pos
 @theenglishmuse on &quot;Karl Lagerfeld&quot; 's Twitter profile(s) lol!  Heart the first pic http://tinyurl.com/cbl6tm,pos
 @TheIanCrawford is no longer in the Cab. To say I'm heartbroken is an understatement... good luck with everything! you're amazing ian.,neg
 @va_songstress broke my twitter..,neg
 @warbo is off clubbing... must come over to sheffield sometime &amp; party but really probably shouldn't atm. a tech conference is a conf etc,neg
" @weselec My avatar can't figure out what you people are, either. http://tr.im/jj7neg",pos
 @xxkirahxx is fulfilling my life's ambition 2 go 2 a Jonas Brothers concert + I went 2 HMV and the new album is already sold out! Why me?,neg
" @yhf What happened to movies, anyway? It's like Hollywood forgot: in rough times, the public wants to see.. http://tr.im/mZ8l",pos
 @zochula just yelled at me for picking apple store over food.,neg
 @ZOEBOE: &quot;whoops credit is due to   &gt;&gt;&gt;rb@MusicIsMySunshine:  &quot; ? http://blip.fm/~7d4pk,pos
 =&gt; How not to exit a Cessna 2neg6 #skydiving http://bit.ly/pos6ZZJ7,pos
 pos of me cats kittens died only 3 days old too..RIP ming.,neg
 pos week before the palm pre comes out and my centro dies. I have a temp phone but my contacts aren't transfered yet. #sadpanda #fb,neg
"- 2neg chicken mcnuggets, 2 double cheeseburgers, large fries, and a lemonade for dinner. Why you may ask? Because I hate my body. ",pos
 3 hrs on da phone...lol dude is hilarious,neg
- 4negnegth tweet (!) breakfast: everything bagel toasted w/cream cheese with an iced cap... delish ,pos
 5 gb of video to upload to utube :O dam sony vegas making it so big ,neg
 5neg% of the new footwear labeling norm is definitions that are never referred to in the document. Who wrote this up?,neg
 a big angry spider was crawling in my blankeys  i flicked it to the floor and cant sleep now,neg
 A blessed sunday everyone!,pos
- a couple years of sickness all piled up to this one day ,neg
 A dog riding the bicycle http://bit.ly/gvMzD,pos
" a fly just landed in my green chile stew. i've never been big on killing bugs, but this asshole asked for it. There goes my appetite",neg
 A problem shared is a buck passed,pos
 A_ just got the same handshake in her meeting. Vibe here sucks,neg
 à¸”à¸¹à¹?à¸šà¹„à¸•à¹‹ hitech,pos
  (Jonah:whats a tweet!?) SHARON!!!!!!!!!!!!,neg
  alice is beating be at my scooby doo board game!,neg
  am quite tired can't wait till wwe at burswood &lt;3,pos
  anyone have any advice on how to cope with a break up?,neg
"  arrrrrrrgggggggghhhhhhhh!!!!!!!!!!  that's it, all lines of communications are temporarily suspended! ",neg
"-  awake, and ready for the day ",pos
  Being NASTY in the studio with my woman!!!  Go SLEEPIES!!!,pos
  but i understand.,neg
  cars being inspected today gonna cost me over 6negneg dollars ,neg
  e is OUT!,neg
  everythings wrong.,neg
  Exercise 2 build muscle mass is only thing that speeds metabolism: http://tinyurl.com/bvagbj,neg
  feeling ok for the first time in a few days. thank you!,pos
"  found a new way to text him, yey!",pos
  friends dying is just horrible.,neg
  going for a paddle 2moz ,pos
